21743	35640
-16504	-51046
17691	39469
-25177	53707
27342	36086
-6884	38238
-12372	-8310
74273	15850
63695	60513
-24707	8254
23196	118014
67583	-4273
-73454	74834
72634	-56700
90410	-91721
113470	37252
-55883	38521
60193	144140
-22066	11249
11671	26386
-71362	93747
-89484	-67031
-16499	-22377
-132710	-50798
28380	-133098
16334	-88996
-12763	-63461
94749	-20793
-127312	-121827
41044	-63717
113221	4723
103272	15538
-21375	-29677
69519	59260
-47863	-102194
61058	-144384
-37705	84718
105671	62325
-85892	-58029
59924	-20302
-42102	-68690
3092	-45998
43894	-114865
125186	-122713
36269	62128
-101222	-46054
-72528	-8434
123819	-59549
14069	48776
66819	30801
46341	-161080
-107078	-9941
-138602	29645
28284	-43729
63157	25223
-26771	-85672
107042	3150
-122720	-24625
99281	-15697
-42544	148805
21414	153290
-132932	39355
-12032	-24371
59041	-22246
-95442	-38744
-88591	-42693
-65040	-19950
-78523	-65853
-102969	40847
-74038	-28484
25695	-65377
75056	36346
24211	78142
-31290	40547
-16841	2068
-43626	88996
-134742	6088
78164	-71634
-5268	78236
-61141	-61543
84644	-14508
-28120	-159357
99166	-72729
-50354	63250
65770	-106242
-81140	5048
96947	3632
-48495	20775
38154	203455
-90361	15253
38413	42087
-39643	-25301
-7049	152853
-70265	-8295
39573	28711
-18901	-32583
-82767	-73923
-68537	-66570
-88308	26810
42054	47989
-38522	81388
45296	44369
-48197	15212
753	111031
20039	-87305
47372	146689
117847	46051
19991	-46580
20842	-74223
-61276	-26365
-40966	-10055
29838	30741
-66654	-46807
-40968	37664
12216	2536
-80021	85095
111128	63708
-53217	23821
70847	113641
44901	25759
-11427	14435
36935	-87934
-94591	-19373
65495	76649
-63884	27413
-18813	-24681
59971	22834
-36251	39779
-27183	-105147
-94595	83080
-104610	-3655
-103973	-74344
-91074	-27058
12623	-54089
104127	54861
49723	32596
-111443	91552
-91732	-18501
-76716	-38981
71532	-18834
-6560	25095
-19151	48989
80379	-20376
49410	-9337
-27595	-13889
-60860	-20498
-14388	33433
17598	67771
-11881	-19611
69000	-40506
69472	31805
-59912	2921
-16736	4269
-75083	84478
-18568	68709
63718	-828
-2642	-1177
45159	-29436
-65683	-23034
-87507	-57273
17210	-20427
16182	-21073
15821	7898
-24930	-85202
6827	138057
-48699	-14483
-27983	72161
-4728	-21332
-34340	-132547
-105349	-16025
-94052	32288
25271	25196
106677	29116
-43061	37960
-35409	-3427
20456	89308
5544	21028
50903	144685
42224	-80611
-21201	-87780
69191	-30496
46692	36968
-111278	86877
-109135	-1327
-75130	-25644
-93022	1977
13107	-14564
-50658	-34435
23344	-90391
-64216	28543
-27962	-30738
-54771	-44911
-33539	22538
18763	79851
-17258	-14738
-105206	77507
77169	51180
-5028	6880
52946	-28502
38326	18597
-87055	-32157
-11836	6050
43556	30379
45319	89175
-52011	-40324
8607	-4223
-115685	-36364
-102964	-36977
60824	131473
-15812	-65599
-22520	76000
20679	45905
9062	-20978
-86379	-8402
67736	58682
8339	12862
102564	24763
21403	-12101
46709	103312
4292	108065
11032	75489
28499	-44116
70982	-37197
-25715	-71881
34214	-62950
-13767	-38353
7915	-42057
-60012	-89019
75413	-946
109883	29601
-117156	9840
-5124	-17640
-51758	13833
67280	-29127
-56337	101058
-16554	-136623
11110	63482
-74947	11214
37535	3236
63929	72793
-83037	87078
-14889	-48698
26971	57555
-64494	-30232
12578	-44382
66220	91904
40715	29380
32125	26065
-16649	-35732
78814	-9811
-62622	47773
-36485	-14122
70259	-21223
-91694	-37050
81598	64832
151502	85106
53051	45780
-94726	-23843
-89280	-48579
-77313	-158567
-7815	29343
-56213	-52970
10294	37209
-110056	-135284
35933	8547
-21138	81891
5975	-4892
11333	68803
-12935	-33740
-58772	5413
67299	-44578
58494	-27322
46723	53434
25182	-113505
-79690	-18501
-27809	28000
-43408	-23818
17991	-46964
41004	-28742
50170	42984
-32668	-16410
14049	-46462
122924	-26449
-18251	46774
-28840	110114
83138	75235
113434	24755
-49853	-53216
89697	74536
-4590	-121066
72517	42058
-40934	18657
-25106	50678
-45206	-5606
-59837	14636
-33096	24335
-35511	8877
34654	2084
0	0
0	0
