-4127	16986
94348	5552
49643	85488
-24537	48508
-41525	-40886
26926	64343
13576	18353
20209	15985
78019	-48597
68784	-95494
-70469	-13457
62639	72205
72940	96993
-23695	49360
16109	957
-79151	94980
72355	31817
-73280	96508
-15424	-56467
-20563	7118
-79542	49768
-40694	15324
-108386	-32280
-66252	-56802
68586	-20312
-87940	50866
16883	-23752
-43312	132995
54141	-16528
25260	48132
-36238	48423
-27091	-1107
39967	-3736
-7195	43950
9032	47112
-39646	105740
-18713	-24802
-90889	37023
-33446	-78703
-11314	-104379
-25422	5588
73829	86162
3450	679
29453	112244
-14807	-35490
-69573	42435
43922	-111827
30808	-47885
-8130	-35302
-13785	-3719
25171	-24003
-28616	-37128
31478	-30579
105325	-73662
-100366	-45944
-103351	-45903
47186	79485
89344	-8399
-40669	2433
27885	-94334
160	-8308
149143	-96344
41135	-81210
-43434	-60711
-90120	61447
117739	17716
-36313	-121927
-82281	-63731
-26047	19986
32996	-21116
-67652	1545
-69710	1546
91004	-35294
-133497	-70988
-51422	72849
-15935	-51092
73030	-17662
41678	2329
60923	93488
-130452	-55268
-16972	85709
-47983	71383
26515	-837
-30177	9691
-11707	68605
-62274	17703
38304	-7484
21334	-1830
-43333	-47292
-24674	11342
78134	-17530
27699	-55436
-30577	110571
-32531	-22374
-10413	-32195
-11394	38457
-6286	44503
57767	23777
-56559	-20063
-62506	-72685
10950	45298
76556	74984
162193	36342
69193	-44514
15280	19572
-7398	4319
-17654	-43935
21661	-76920
-30455	-7695
52278	65178
-47361	-66162
-8061	-40308
2233	108264
0	0
0	0
